NC_044371.1	cs1
NC_044375.1	cs2
NC_044372.1	cs3
NC_044373.1	cs4
NC_044374.1	cs5
NC_044377.1	cs6
NC_044378.1	cs7
NC_044379.1	cs8
NC_044376.1	cs9
NC_044370.1	cs10
NW_022060319.1	cs11
NW_022060329.1	cs12
NW_022060330.1	cs13
NW_022060333.1	cs14
NW_022060334.1	cs15
NW_022060340.1	cs16
NW_022060348.1	cs17
NW_022060349.1	cs18
NW_022060355.1	cs19
NW_022060366.1	cs20
NW_022060368.1	cs21
NW_022060378.1	cs22
NW_022060381.1	cs23
NW_022060397.1	cs24
NW_022060400.1	cs25
NW_022060402.1	cs26
NW_022060405.1	cs27
NW_022060407.1	cs28
NW_022060409.1	cs29
NW_022060416.1	cs30
NW_022060417.1	cs31
NW_022060435.1	cs32
NW_022060437.1	cs33
NW_022060446.1	cs34
NW_022060447.1	cs35
NW_022060448.1	cs36
NW_022060449.1	cs37
NW_022060450.1	cs38
NW_022060453.1	cs39
NW_022060454.1	cs40
NW_022060455.1	cs41
NW_022060460.1	cs42
NW_022060461.1	cs43
NW_022060462.1	cs44
NW_022060464.1	cs45
NW_022060465.1	cs46
NW_022060466.1	cs47
NW_022060467.1	cs48
NW_022060468.1	cs49
NW_022060470.1	cs50
NW_022060471.1	cs51
NW_022060472.1	cs52
NW_022060473.1	cs53
NW_022060474.1	cs54
NW_022060476.1	cs55
NW_022060478.1	cs56
NW_022060479.1	cs57
NW_022060480.1	cs58
NW_022060481.1	cs59
NW_022060482.1	cs60
NW_022060484.1	cs61
NW_022060485.1	cs62
NW_022060486.1	cs63
NW_022060489.1	cs64
NW_022060492.1	cs65
NW_022060494.1	cs66
NW_022060498.1	cs67
NW_022060502.1	cs68
NW_022060504.1	cs69
NW_022060505.1	cs70
NW_022060506.1	cs71
NW_022060507.1	cs72
NW_022060508.1	cs73
NW_022060511.1	cs74
NW_022060517.1	cs75
NW_022060518.1	cs76
NW_022060519.1	cs77
NW_022060521.1	cs78
NW_022060522.1	cs79
NW_022060527.1	cs80
NW_022060528.1	cs81
NC_029855.1	cs82
CM010796.2	pk1
CM010790.2	pk2
CM010792.2	pk3
CM010798.2	pk4
CM010791.2	pk5
CM010799.2	pk6
CM010797.2	pk7
CM010794.2	pk8
CM010795.2	pk9
CM010793.2	pk10
